,L-f,L-m,L-h,R-f,R-m,R-h,Index,Result
0,3,3,3,4,1,3,"(1, 4)",Success
1,3,3,2,2,0,1,"(1, 5)",Success
2,2,2,1,3,0,1,"(1, 6)",Success
3,2,0,0,2,0,0,"(1, 7)",Success
4,2,2,1,3,0,2,"(1, 8)",Success
5,2,1,1,2,0,0,"(1, 10)",Success
6,2,2,1,2,0,1,"(1, 11)",Success
7,1,1,1,2,0,2,"(1, 12)",Success
8,2,2,1,2,0,0,"(1, 13)",Success
9,1,1,1,1,0,1,"(1, 14)",Success
10,2,2,0,1,0,1,"(1, 15)",Success
11,2,2,0,2,0,0,"(1, 16)",Success
12,2,2,1,0,0,0,"(1, 17)",Success
13,2,2,1,1,0,1,"(1, 19)",Success
14,3,2,2,2,0,3,"(1, 20)",Success
15,3,2,3,3,2,3,"(2, 5)",Success
16,2,1,5,6,1,6,"(2, 7)",Failed
17,2,1,2,2,0,0,"(2, 8)",Success
18,3,3,2,3,0,1,"(2, 9)",Success
19,2,3,1,2,0,2,"(2, 10)",Success
20,5,7,4,7,0,4,"(2, 11)",Success
21,1,0,3,3,0,1,"(2, 12)",Success
22,3,4,2,3,0,2,"(2, 13)",Success
23,5,5,4,6,0,6,"(2, 18)",Failed
24,5,2,3,4,1,4,"(2, 19)",Failed
25,3,2,2,2,0,2,"(2, 20)",Success
26,3,3,3,3,1,3,"(4, 4)",Success
27,5,6,3,6,4,4,"(4, 5)",Success
28,3,2,1,4,0,1,"(4, 7)",Success
29,3,2,1,3,0,0,"(4, 9)",Success
30,4,3,3,5,0,5,"(4, 10)",Success
31,5,3,2,4,1,6,"(4, 11)",Failed
32,4,3,3,5,0,4,"(4, 12)",Success
33,5,5,3,6,0,3,"(4, 13)",Success
34,3,2,2,2,0,1,"(4, 14)",Success
35,2,1,7,3,1,2,"(4, 15)",Failed
36,1,2,4,8,0,4,"(4, 16)",Failed
37,3,2,1,2,0,3,"(4, 19)",Success
38,1,2,1,1,0,0,"(5, 5)",Success
39,2,2,1,3,0,0,"(5, 6)",Success
40,1,2,2,3,1,1,"(5, 7)",Success
41,0,2,1,2,0,1,"(5, 8)",Success
42,0,1,1,2,0,0,"(5, 9)",Success
43,2,2,1,2,0,1,"(5, 10)",Success
44,2,2,1,2,0,1,"(5, 11)",Success
45,1,2,0,2,0,0,"(5, 13)",Success
46,2,2,1,1,0,0,"(5, 14)",Success
47,3,1,1,3,0,0,"(5, 15)",Success
48,2,1,1,2,0,0,"(5, 16)",Success
49,2,2,1,2,0,1,"(5, 17)",Success
50,1,2,1,2,0,1,"(5, 18)",Success
51,1,1,1,1,0,1,"(5, 19)",Success
52,2,1,1,2,0,1,"(5, 20)",Success
53,3,1,2,3,0,2,"(6, 10)",Success
54,3,2,1,2,0,2,"(6, 12)",Success
55,4,2,4,5,0,4,"(6, 13)",Success
56,3,1,4,7,1,4,"(6, 14)",Success
57,4,4,3,5,0,3,"(6, 15)",Success
58,2,1,1,3,0,4,"(6, 16)",Failed
59,3,1,2,5,0,2,"(6, 17)",Success
60,6,3,2,5,1,3,"(6, 18)",Success
61,4,2,2,3,0,4,"(6, 19)",Success
62,5,2,2,5,0,4,"(6, 20)",Success
63,6,7,5,7,1,3,"(7, 4)",Failed
64,9,1,6,6,1,5,"(7, 5)",Failed
65,5,4,6,5,0,4,"(7, 6)",Success
66,2,2,6,5,1,2,"(7, 7)",Failed
67,7,3,4,1,1,3,"(7, 9)",Failed
68,2,5,5,0,0,2,"(7, 10)",Failed
69,3,2,6,4,1,1,"(7, 11)",Failed
70,6,3,5,9,2,3,"(7, 12)",Success
71,7,3,10,3,1,3,"(7, 13)",Failed
72,2,0,9,3,2,3,"(7, 14)",Failed
73,4,0,7,5,2,5,"(7, 15)",Failed
74,5,1,5,1,0,1,"(7, 16)",Failed
75,7,0,7,2,1,3,"(7, 17)",Failed
76,2,1,8,2,1,2,"(7, 18)",Failed
77,5,2,9,5,1,5,"(7, 19)",Failed
78,6,1,6,2,1,1,"(7, 20)",Success
79,1,1,1,1,0,1,"(8, 4)",Success
80,0,1,0,1,0,0,"(8, 5)",Success
81,3,3,3,3,0,2,"(8, 6)",Success
82,1,1,1,1,0,0,"(8, 7)",Success
83,2,1,1,2,0,2,"(8, 8)",Success
84,3,3,1,3,0,2,"(8, 9)",Success
85,2,2,1,2,0,0,"(8, 10)",Success
86,0,2,1,1,1,1,"(8, 11)",Success
87,1,0,1,1,0,0,"(8, 12)",Success
88,0,1,0,1,0,1,"(8, 13)",Success
89,5,2,4,9,2,5,"(8, 14)",Success
90,1,2,2,3,0,0,"(8, 15)",Success
91,2,1,2,1,0,1,"(8, 16)",Success
92,3,2,1,3,0,3,"(8, 17)",Success
93,2,1,1,2,0,1,"(8, 18)",Success
94,2,2,1,2,0,1,"(8, 19)",Success
95,3,1,3,2,0,2,"(8, 20)",Failed
96,2,1,1,2,0,2,"(9, 4)",Success
97,1,2,0,3,0,1,"(9, 5)",Success
98,1,0,0,3,0,0,"(9, 6)",Success
99,2,1,1,1,0,0,"(9, 7)",Success
100,1,1,1,2,0,0,"(9, 9)",Success
101,2,1,1,1,2,1,"(9, 10)",Success
102,1,2,1,2,0,1,"(9, 11)",Success
103,2,1,0,1,0,0,"(9, 12)",Success
104,2,1,1,2,1,1,"(9, 14)",Success
105,2,1,2,4,0,1,"(9, 16)",Success
106,1,1,1,1,0,1,"(9, 17)",Success
107,1,1,1,1,1,1,"(9, 18)",Success
108,1,1,1,1,1,2,"(9, 19)",Success
109,2,2,1,3,1,1,"(9, 20)",Success
110,2,1,0,1,0,2,"(10, 6)",Success
111,1,1,0,2,0,1,"(10, 9)",Success
112,1,2,0,1,0,1,"(10, 10)",Success
113,1,1,1,2,0,1,"(10, 11)",Success
114,1,2,0,1,0,1,"(10, 13)",Success
115,1,1,0,1,0,1,"(10, 14)",Success
116,2,4,1,3,0,2,"(10, 15)",Success
117,1,2,1,2,1,1,"(10, 16)",Success
118,2,3,4,3,1,4,"(10, 17)",Success
119,1,1,1,2,1,2,"(10, 18)",Success
120,1,1,0,2,0,1,"(10, 19)",Success
121,1,1,1,1,0,1,"(10, 20)",Success
122,4,3,4,6,0,5,"(11, 4)",Success
123,2,3,3,2,0,2,"(11, 5)",Success
124,2,3,3,5,0,2,"(11, 6)",Success
125,3,5,2,6,1,3,"(11, 7)",Success
126,4,3,2,2,1,2,"(11, 8)",Success
127,5,4,3,4,0,2,"(11, 10)",Success
128,5,2,2,3,0,3,"(11, 11)",Success
129,1,3,4,4,0,3,"(11, 13)",Success
130,1,4,1,6,0,1,"(11, 14)",Success
131,4,6,4,6,0,6,"(11, 15)",Success
132,7,7,4,5,0,1,"(11, 16)",Success
133,6,3,4,2,1,2,"(11, 17)",Success
134,3,3,3,2,3,1,"(11, 18)",Failed
135,3,4,2,6,1,2,"(11, 19)",Success
136,1,1,2,0,1,1,"(11, 20)",Success
137,2,1,1,1,0,2,"(12, 4)",Success
138,2,1,1,2,0,0,"(12, 5)",Success
139,2,2,2,2,0,1,"(12, 6)",Success
140,2,1,1,2,0,0,"(12, 7)",Success
141,1,1,1,1,0,0,"(12, 8)",Success
142,7,3,2,9,0,9,"(12, 9)",Failed
143,2,2,3,3,0,2,"(12, 10)",Success
144,1,4,3,8,0,4,"(12, 11)",Failed
145,1,2,1,2,0,0,"(12, 13)",Success
146,1,1,1,2,0,0,"(12, 14)",Success
147,4,5,7,4,1,4,"(12, 15)",Success
148,2,2,1,2,0,1,"(12, 16)",Success
149,3,7,4,9,0,5,"(12, 17)",Failed
150,1,4,6,1,0,3,"(12, 18)",Success
151,2,3,1,2,0,1,"(12, 19)",Success
152,2,2,1,2,0,1,"(12, 20)",Success
153,3,3,2,3,0,0,"(13, 4)",Success
154,2,2,2,3,0,2,"(13, 5)",Success
155,5,2,2,4,0,2,"(13, 6)",Success
156,4,3,4,3,0,5,"(13, 7)",Success
157,3,1,3,4,0,1,"(13, 8)",Success
158,2,0,1,1,0,0,"(13, 9)",Success
159,2,1,2,3,0,1,"(13, 10)",Success
160,1,2,2,1,0,0,"(13, 11)",Success
161,3,3,2,3,0,1,"(13, 12)",Success
162,1,2,1,2,1,1,"(13, 13)",Success
163,3,2,2,3,0,0,"(13, 14)",Success
164,5,5,3,6,1,1,"(13, 16)",Success
165,2,1,1,3,0,1,"(13, 17)",Success
166,5,5,3,7,1,2,"(13, 19)",Success
167,3,2,0,3,0,2,"(13, 20)",Success
168,4,3,1,3,1,1,"(14, 4)",Success
169,1,2,4,2,1,5,"(14, 5)",Failed
170,2,2,3,2,0,2,"(14, 6)",Success
171,2,2,1,2,0,1,"(14, 7)",Success
172,2,3,3,3,0,4,"(14, 8)",Failed
173,1,3,3,2,0,2,"(14, 9)",Success
174,1,2,1,1,0,1,"(14, 10)",Success
175,3,2,1,2,0,2,"(14, 11)",Success
176,4,4,2,3,0,4,"(14, 13)",Success
177,3,5,1,3,0,3,"(14, 14)",Success
178,0,2,0,2,0,0,"(14, 15)",Success
179,3,2,2,1,0,1,"(14, 17)",Success
180,2,2,1,1,0,0,"(14, 20)",Success
181,2,1,2,2,0,0,"(15, 4)",Success
182,3,3,3,4,0,0,"(15, 6)",Success
183,8,1,3,7,0,7,"(15, 9)",Failed
184,2,1,2,5,1,1,"(15, 10)",Success
185,6,3,5,5,1,6,"(15, 12)",Success
186,3,4,3,3,0,3,"(15, 13)",Failed
187,6,1,4,5,0,2,"(15, 14)",Success
188,3,3,3,6,0,4,"(15, 18)",Success
189,2,1,1,4,0,2,"(15, 19)",Success
